xflr5 v6.10.04

 Calculated polar for: HT12

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.030     Re =     0.071 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -5.000,-0.5498, 0.02925, 0.01955,-0.0082,1.0000,0.0959,-2.7220, 0.0000, 0.2328
 -4.000,-0.4397, 0.02078, 0.01018,-0.0065,1.0000,0.1387,-2.2621, 0.0000, 0.2334
 -3.000,-0.3376, 0.01487, 0.00581,-0.0034,1.0000,0.4264,-1.6975, 0.0000, 0.2383
 -2.000,-0.2127, 0.01158, 0.00370,-0.0020,1.0000,1.0000,-1.0235, 0.0000, 0.2393
 -1.000,-0.1065, 0.01132, 0.00265,-0.0011,1.0000,1.0000,-0.5771, 0.0000, 0.2386
  0.000, 0.0001, 0.01124, 0.00234, 0.0000,1.0000,1.0000,-0.3041, 0.0000, 0.2383
  1.000, 0.1067, 0.01132, 0.00265, 0.0011,1.0000,1.0000,-0.5773, 0.0000, 0.2386
  2.000, 0.2129, 0.01158, 0.00370, 0.0020,1.0000,1.0000,-1.0246, 0.0000, 0.2393
  3.000, 0.3378, 0.01487, 0.00581, 0.0034,0.4256,1.0000,-1.6987, 0.0000, 0.2383
  4.000, 0.4399, 0.02079, 0.01019, 0.0065,0.1386,1.0000,-2.2628, 0.0000, 0.2334
  5.000, 0.5499, 0.02926, 0.01955, 0.0082,0.0958,1.0000,-2.7242, 0.0000, 0.2328
  7.000, 0.7130, 0.08596, 0.08056,-0.0331,0.1992,1.0000,-1.8647, 0.0000, 0.2945
  8.000, 0.7301, 0.10247, 0.09694,-0.0413,0.1654,1.0000,-1.8863, 0.0000, 0.3042
 15.000, 0.8380, 0.21088, 0.20489,-0.0814,0.0690,1.0000,-1.7636, 0.0000, 0.3403
 16.000, 0.8630, 0.22465, 0.21864,-0.0897,0.0625,1.0000,-1.7286, 0.0000, 0.3461
 17.000, 0.8920, 0.23871, 0.23269,-0.0978,0.0557,1.0000,-1.7368, 0.0000, 0.3508
 18.000, 0.9232, 0.25307, 0.24708,-0.1057,0.0508,1.0000,-1.7471, 0.0000, 0.3547
 19.000, 0.9553, 0.26757, 0.26160,-0.1137,0.0464,1.0000,-1.7537, 0.0000, 0.3580
 20.000, 0.9880, 0.28199, 0.27604,-0.1219,0.0420,1.0000,-1.7657, 0.0000, 0.3612
 21.000, 1.0210, 0.29673, 0.29085,-0.1301,0.0378,1.0000,-1.8465, 0.0000, 0.3638
 22.000, 1.0536, 0.30890, 0.30304,-0.1407,0.0350,1.0000,-1.8079, 0.0000, 0.3685
 23.000, 1.0860, 0.32275, 0.31694,-0.1499,0.0327,1.0000,-1.8275, 0.0000, 0.3714
 24.000, 1.1177, 0.33640, 0.33067,-0.1589,0.0295,1.0000,-1.8665, 0.0000, 0.3739
 25.000, 1.1500, 0.34843, 0.34275,-0.1696,0.0275,1.0000,-1.8347, 0.0000, 0.3774


