xflr5 v6.10.04

 Calculated polar for: HT12

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.030     Re =     0.091 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -5.000,-0.5481, 0.02636, 0.01715,-0.0076,1.0000,0.0783,-2.8397, 0.0000, 0.2337
 -4.000,-0.4382, 0.01872, 0.00870,-0.0058,1.0000,0.1136,-2.3316, 0.0000, 0.2348
 -3.000,-0.3350, 0.01342, 0.00488,-0.0037,1.0000,0.3749,-1.7217, 0.0000, 0.2373
 -2.000,-0.2137, 0.01023, 0.00332,-0.0020,1.0000,1.0000,-1.0349, 0.0000, 0.2394
 -1.000,-0.1070, 0.01000, 0.00237,-0.0011,1.0000,1.0000,-0.5806, 0.0000, 0.2388
  0.000, 0.0001, 0.00993, 0.00209, 0.0000,1.0000,1.0000,-0.3043, 0.0000, 0.2381
  1.000, 0.1071, 0.01000, 0.00237, 0.0011,1.0000,1.0000,-0.5808, 0.0000, 0.2388
  2.000, 0.2138, 0.01023, 0.00332, 0.0020,1.0000,1.0000,-1.0360, 0.0000, 0.2394
  3.000, 0.3351, 0.01343, 0.00488, 0.0037,0.3742,1.0000,-1.7229, 0.0000, 0.2373
  4.000, 0.4384, 0.01873, 0.00871, 0.0058,0.1135,1.0000,-2.3326, 0.0000, 0.2348
  5.000, 0.5482, 0.02638, 0.01717, 0.0076,0.0782,1.0000,-2.8401, 0.0000, 0.2337
 14.000, 0.8110, 0.19347, 0.18817,-0.0763,0.0588,1.0000,-1.7879, 0.0000, 0.3379
 15.000, 0.8371, 0.20884, 0.20353,-0.0823,0.0527,1.0000,-1.7873, 0.0000, 0.3414
 16.000, 0.8660, 0.22467, 0.21936,-0.0886,0.0471,1.0000,-1.8424, 0.0000, 0.3445
 17.000, 0.8937, 0.23833, 0.23303,-0.0974,0.0426,1.0000,-1.8176, 0.0000, 0.3501
 18.000, 0.9239, 0.25230, 0.24699,-0.1063,0.0389,1.0000,-1.7753, 0.0000, 0.3552
 19.000, 0.9559, 0.26661, 0.26132,-0.1148,0.0352,1.0000,-1.7557, 0.0000, 0.3591
 20.000, 0.9886, 0.28093, 0.27566,-0.1234,0.0324,1.0000,-1.7623, 0.0000, 0.3625


